Year;CompetitionCode;ChampionshipBlock;PopulationGroup;Category;Sex;Event;ApprovedFrench;ClassifiedFrench;DifferenceClassifiedMinusApproved;ClassificationCoveragePercent;Status
2023;23FRA023;SENIOR;SENIOR;55+;M;FIGURES;3;3;0;100.0;MATCH
2023;23FRA023;SENIOR;SENIOR;55+;M;SAUT;2;1;-1;50.0;CLASSIFIED_LOWER
2023;23FRA023;SENIOR;SENIOR;55+;M;SLALOM;9;9;0;100.0;MATCH
2023;23FRA023;SENIOR;SENIOR;65+;M;FIGURES;1;1;0;100.0;MATCH
2023;23FRA023;SENIOR;SENIOR;65+;M;SLALOM;2;1;-1;50.0;CLASSIFIED_LOWER
2023;23FRA023;SENIOR;SENIOR;70+;M;FIGURES;1;1;0;100.0;MATCH
2023;23FRA023;SENIOR;SENIOR;70+;M;SLALOM;3;2;-1;66.7;CLASSIFIED_LOWER
2023;23FRA023;SENIOR;SENIOR;75+;M;FIGURES;1;1;0;100.0;MATCH
2023;23FRA023;SENIOR;SENIOR;75+;M;SLALOM;1;1;0;100.0;MATCH
2024;24FRA026;RELEVES;JUNIOR;U17;F;SLALOM;1;1;0;100.0;MATCH
2024;24FRA026;RELEVES;JUNIOR;U17;M;COMBINE;5;5;0;100.0;MATCH
2024;24FRA026;RELEVES;JUNIOR;U17;M;FIGURES;6;6;0;100.0;MATCH
2024;24FRA026;RELEVES;JUNIOR;U17;M;SAUT;5;5;0;100.0;MATCH
2024;24FRA026;RELEVES;JUNIOR;U17;M;SLALOM;6;6;0;100.0;MATCH
2024;24FRA026;RELEVES;RELEVES;U10;F;SLALOM;1;1;0;100.0;MATCH
2024;24FRA026;RELEVES;RELEVES;U10;M;FIGURES;1;1;0;100.0;MATCH
2024;24FRA026;RELEVES;RELEVES;U10;M;SLALOM;1;1;0;100.0;MATCH
2024;24FRA026;RELEVES;RELEVES;U12;F;FIGURES;1;1;0;100.0;MATCH
2024;24FRA026;RELEVES;RELEVES;U12;F;SLALOM;1;1;0;100.0;MATCH
2024;24FRA026;RELEVES;RELEVES;U12;M;COMBINE;1;1;0;100.0;MATCH
2024;24FRA026;RELEVES;RELEVES;U12;M;FIGURES;2;2;0;100.0;MATCH
2024;24FRA026;RELEVES;RELEVES;U12;M;SAUT;1;1;0;100.0;MATCH
2024;24FRA026;RELEVES;RELEVES;U12;M;SLALOM;2;2;0;100.0;MATCH
2024;24FRA026;RELEVES;RELEVES;U14;F;COMBINE;3;3;0;100.0;MATCH
2024;24FRA026;RELEVES;RELEVES;U14;F;FIGURES;4;4;0;100.0;MATCH
2024;24FRA026;RELEVES;RELEVES;U14;F;SAUT;3;3;0;100.0;MATCH
2024;24FRA026;RELEVES;RELEVES;U14;F;SLALOM;5;5;0;100.0;MATCH
2024;24FRA026;RELEVES;RELEVES;U14;M;COMBINE;3;3;0;100.0;MATCH
2024;24FRA026;RELEVES;RELEVES;U14;M;FIGURES;4;4;0;100.0;MATCH
2024;24FRA026;RELEVES;RELEVES;U14;M;SAUT;3;3;0;100.0;MATCH
2024;24FRA026;RELEVES;RELEVES;U14;M;SLALOM;4;4;0;100.0;MATCH
2024;24FRA027;U21_OPEN;OPEN;OPEN;F;COMBINE;3;3;0;100.0;MATCH
2024;24FRA027;U21_OPEN;OPEN;OPEN;F;FIGURES;4;4;0;100.0;MATCH
2024;24FRA027;U21_OPEN;OPEN;OPEN;F;SAUT;3;3;0;100.0;MATCH
2024;24FRA027;U21_OPEN;OPEN;OPEN;F;SLALOM;7;7;0;100.0;MATCH
2024;24FRA027;U21_OPEN;OPEN;OPEN;M;COMBINE;2;2;0;100.0;MATCH
2024;24FRA027;U21_OPEN;OPEN;OPEN;M;FIGURES;4;3;-1;75.0;CLASSIFIED_LOWER
2024;24FRA027;U21_OPEN;OPEN;OPEN;M;SAUT;3;3;0;100.0;MATCH
2024;24FRA027;U21_OPEN;OPEN;OPEN;M;SLALOM;5;4;-1;80.0;CLASSIFIED_LOWER
2024;24FRA027;U21_OPEN;U21;U21;F;COMBINE;2;2;0;100.0;MATCH
2024;24FRA027;U21_OPEN;U21;U21;F;FIGURES;3;3;0;100.0;MATCH
2024;24FRA027;U21_OPEN;U21;U21;F;SAUT;2;2;0;100.0;MATCH
2024;24FRA027;U21_OPEN;U21;U21;F;SLALOM;2;2;0;100.0;MATCH
2024;24FRA027;U21_OPEN;U21;U21;M;COMBINE;1;1;0;100.0;MATCH
2024;24FRA027;U21_OPEN;U21;U21;M;FIGURES;1;1;0;100.0;MATCH
2024;24FRA027;U21_OPEN;U21;U21;M;SAUT;2;2;0;100.0;MATCH
2024;24FRA027;U21_OPEN;U21;U21;M;SLALOM;2;2;0;100.0;MATCH
2024;24FRA034;SENIOR;SENIOR;35+;F;COMBINE;1;0;-1;0.0;EMS_ONLY
2024;24FRA034;SENIOR;SENIOR;35+;F;FIGURES;1;1;0;100.0;MATCH
2024;24FRA034;SENIOR;SENIOR;35+;F;SAUT;1;0;-1;0.0;EMS_ONLY
2024;24FRA034;SENIOR;SENIOR;35+;F;SLALOM;2;2;0;100.0;MATCH
2024;24FRA034;SENIOR;SENIOR;35+;M;COMBINE;4;4;0;100.0;MATCH
2024;24FRA034;SENIOR;SENIOR;35+;M;FIGURES;4;4;0;100.0;MATCH
2024;24FRA034;SENIOR;SENIOR;35+;M;SAUT;5;5;0;100.0;MATCH
2024;24FRA034;SENIOR;SENIOR;35+;M;SLALOM;6;6;0;100.0;MATCH
2024;24FRA034;SENIOR;SENIOR;45+;F;COMBINE;2;2;0;100.0;MATCH
2024;24FRA034;SENIOR;SENIOR;45+;F;FIGURES;3;3;0;100.0;MATCH
2024;24FRA034;SENIOR;SENIOR;45+;F;SAUT;2;2;0;100.0;MATCH
2024;24FRA034;SENIOR;SENIOR;45+;F;SLALOM;3;3;0;100.0;MATCH
2024;24FRA034;SENIOR;SENIOR;45+;M;COMBINE;4;4;0;100.0;MATCH
2024;24FRA034;SENIOR;SENIOR;45+;M;FIGURES;4;4;0;100.0;MATCH
2024;24FRA034;SENIOR;SENIOR;45+;M;SAUT;5;5;0;100.0;MATCH
2024;24FRA034;SENIOR;SENIOR;45+;M;SLALOM;10;10;0;100.0;MATCH
2024;24FRA034;SENIOR;SENIOR;55+;F;SLALOM;3;3;0;100.0;MATCH
2024;24FRA034;SENIOR;SENIOR;55+;M;COMBINE;2;2;0;100.0;MATCH
2024;24FRA034;SENIOR;SENIOR;55+;M;FIGURES;3;3;0;100.0;MATCH
2024;24FRA034;SENIOR;SENIOR;55+;M;SAUT;2;2;0;100.0;MATCH
2024;24FRA034;SENIOR;SENIOR;55+;M;SLALOM;6;6;0;100.0;MATCH
2024;24FRA034;SENIOR;SENIOR;65+;M;COMBINE;1;0;-1;0.0;EMS_ONLY
2024;24FRA034;SENIOR;SENIOR;65+;M;FIGURES;1;1;0;100.0;MATCH
2024;24FRA034;SENIOR;SENIOR;65+;M;SAUT;1;0;-1;0.0;EMS_ONLY
2024;24FRA034;SENIOR;SENIOR;65+;M;SLALOM;2;2;0;100.0;MATCH
2024;24FRA034;SENIOR;SENIOR;70+;M;FIGURES;1;1;0;100.0;MATCH
2024;24FRA034;SENIOR;SENIOR;70+;M;SLALOM;2;2;0;100.0;MATCH
2024;24FRA034;SENIOR;SENIOR;75+;M;FIGURES;1;1;0;100.0;MATCH
2024;24FRA034;SENIOR;SENIOR;75+;M;SLALOM;2;2;0;100.0;MATCH
2025;25FRA016;RELEVES;JUNIOR;U17;F;COMBINE;1;1;0;100.0;MATCH
2025;25FRA016;RELEVES;JUNIOR;U17;F;FIGURES;2;2;0;100.0;MATCH
2025;25FRA016;RELEVES;JUNIOR;U17;F;SAUT;2;2;0;100.0;MATCH
